ser,deathRate,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
191,163.1,334,133,402.3,40591,75737,24.5,330.0896524,"(40362.7, 42724.4]",38.5,36.9,40,"Valencia County, New Mexico",2.78,49.2,18.6,36.2,,1.6,31.9,10.8,47.3,12.4,52.6,37.9,33.9,46.1,29.7,74.65169011,1.125863402,0.559655032,16.69528291,51.14469717,6.407674997
192,176.1,1775,637,505.9,60371,309381,13.5,420.193871,"(54545.6, 61494.5]",37.9,36.4,39.6,"Albany County, New York",2.35,40.8,7.2,23.6,51.8,17.4,26.5,20.1,60.7,6.4,77.7,62.2,57.6,30.1,14.2,77.04374185,12.55825904,5.672877712,1.315280213,40.08229986,3.774039071
193,177.2,282,105,490.7,42655,47462,18.3,0,"(40362.7, 42724.4]",38.3,36.8,39.7,"Allegany County, New York",2.36,47.6,7.2,21.4,,5.7,38.7,9.8,51.8,9.2,67.8,50.6,45.7,38.7,20.2,95.65633451,1.408362804,1.196172249,0.4784689,49.29176921,4.844731809
194,162,5834,2059,455.3,33687,1455444,31.5,241.1635212,"[22640, 34218.1]",33.2,30.9,35.2,"Bronx County, New York",2.86,31,24.2,26.4,,6.8,27.3,12.3,51.2,14,43.1,32.5,29.5,52,38.2,20.9939812,33.28145555,3.672541248,37.85902264,27.30922949,5.67890152
195,163.6,1235,442,494.4,46283,196567,17.2,106.8338022,"(45201, 48021.6]",39.9,37.8,42,"Broome County, New York",2.37,43.8,9.7,24.4,,11.6,32.2,15,54.1,7.8,69.2,52.4,47.5,38.9,21.2,86.90110201,5.433811392,4.089493319,0.995492016,43.30106657,4.2987606
196,167.9,515,171,517.8,43892,77922,16.2,0,"(42724.4, 45201]",41.4,40.6,42.1,"Cattaraugus County, New York",2.41,48.7,18.3,32.9,,5.5,40.9,10.3,54.3,8.2,67.3,,44,39.8,18.7,92.23297282,1.579240647,0.832045794,0.441984752,46.90374585,4.82052462
197,158.6,465,163,470.8,52792,78288,12.7,102.1867975,"(51046.4, 54545.6]",42.5,41.2,44,"Cayuga County, New York",0.0243,46.8,19.4,27.7,45.6,7.3,34.1,12.5,56.9,7.3,71,53.2,48.7,36.2,17.9,92.2839857,4.355020019,0.428176272,0.588584492,45.81880408,5.470136014
198,173.2,950,315,550.1,41757,130779,19.3,267.6270655,"(40362.7, 42724.4]",41.7,40.2,43.1,"Chautauqua County, New York",2.36,47,13.8,25,,6.5,35.5,11.3,53.6,7.8,66.5,,45,41,22.4,93.04615292,2.517226302,0.677743769,1.522850293,45.57763418,6.073151538
199,183.8,559,214,508.2,48880,87071,18.2,195.2429626,"(48021.6, 51046.4]",40.9,39.6,42.3,"Chemung County, New York",2.35,48.3,14.1,33.7,,8.1,35.6,12.8,53.8,5.4,68.8,52.7,49.9,39,21.4,88.45548166,5.901412759,1.516988229,0.311554715,45.98629397,5.089635277
200,180.3,337,121,512.4,46387,48844,16.7,0,"(45201, 48021.6]",43.8,42.6,45,"Chenango County, New York",0.0249,50.2,16.6,36.4,41.2,5.8,39.2,9.5,53.6,7.1,66,48.8,44.9,40.7,20.8,96.24210378,0.849663969,0.534824114,0.478314396,49.42212718,5.052412881
201,194.2,335,155,437.1,34842,51881,20.5,19.27487905,"(34218.1, 37413.8]",46,43.6,47.5,"Henry County, Virginia",2.32,52,12.8,40.7,,5.1,34.1,7.3,49.9,10,59.8,,33.9,42.9,22.2,73.33586915,22.28033473,0.521110688,2.232788132,47.92326567,6.007452513
202,111.3,12,5,327,38636,2214,14.6,0,"(37413.8, 40362.7]",59,60.2,58.2,"Highland County, Virginia",2.1,63.1,16.1,33.9,,16.9,38.6,14.6,51.3,1.1,69.4,34,27.4,39.3,9.7,99.50980392,0,0,0,53.59477124,10.79136691
203,200.6,205,88,460.2,64350,36314,10.2,0,"(61494.5, 125635]",44.5,43.4,46,"Isle of Wight County, Virginia",2.57,58.1,14.1,36.2,,7.5,27.7,17.3,59.4,8.3,76.5,57.5,48,29.2,12.6,71.82148853,22.77560157,0.948517068,1.175153889,59.93899339,3.667228197
204,149,410,159,423,75926,73147,7.9,27.34220132,"(61494.5, 125635]",45.4,43.4,46.7,"James City County, Virginia",2.49,58.3,13.5,31.2,,15,21.1,26.5,54.7,5.1,81.1,57.8,45.2,30.5,10.7,80.28525745,13.5426542,2.964356968,0.732953179,57.275,4.819607038
205,180.3,38,18,383.4,46331,7158,14.8,0,"(45201, 48021.6]",45.9,42.8,48.4,"King and Queen County, Virginia",2.46,53.7,20.9,41,,2,41.1,12.5,57,5.5,65.7,50.8,44.5,31.9,16.7,68.81508584,26.54095131,0.182943991,0.197016606,49.61990325,9.290030211
206,195.7,108,41,491.5,76206,25515,7.5,0,"(61494.5, 125635]",36.6,36.3,37.3,"King George County, Virginia",2.96,56.6,11.3,43.6,,12.4,30.3,19,63.6,7.4,83.5,67,55.6,20.9,7.9,76.6373882,17.95211166,1.287450367,0.481289857,61.9525003,6.194544857
207,187.4,90,32,514.8,64305,16269,8.8,0,"(61494.5, 125635]",40.7,40,41.5,"King William County, Virginia",2.66,58.5,5.7,36.6,,9.3,39.4,12.5,63,5.4,75.6,62.7,55.5,25.5,13.5,76.52357582,19.54401441,0.869727278,0.21743182,60.48707753,6.631716907
208,190.6,101,48,446.8,45827,10965,13.7,0,"(45201, 48021.6]",55.6,53.4,57.2,"Lancaster County, Virginia",2.13,51.4,10.2,46.6,,10.8,32.8,15.3,48.6,7.9,71,,32.4,42.9,15.5,69.77266601,28.0168928,0.979423129,0.107826399,44.2680093,4.297328688
209,224.2,107,73,330.5,31429,24742,26.6,0,"[22640, 34218.1]",42.8,40.3,46.2,"Lee County, Virginia",2.52,49.8,21.4,22.9,,6.5,33.6,7.6,37.9,12,52.5,35.4,30.3,48.8,26.3,93.93398397,3.824486233,0.261842418,0.535586765,51.50873478,6.208251473
210,136.5,862,283,364.9,122641,375629,3.9,449.9120142,"(61494.5, 125635]",35.3,34.9,35.6,"Loudoun County, Virginia",3.08,61.2,16.6,26.5,,17.1,13.8,34.8,72.6,4,86.9,77.1,68.9,11.8,4.6,67.77024968,7.432026406,16.20002905,3.625732993,65.51325905,6.198748382
211,191,183,77,456.9,60121,34602,11.5,0,"(54545.6, 61494.5]",43.7,42.8,44.4,"Louisa County, Virginia",2.64,55.1,14.8,50.4,32.1,2.7,37,13,58.3,8.1,67.4,51.9,46.1,30.2,14.3,78.38815983,16.67451303,0.517860295,1.894897899,58.25863279,5.015546843
212,189.8,70,33,404.1,37548,12299,22.4,0,"(37413.8, 40362.7]",44.7,43.2,46.6,"Lunenburg County, Virginia",2.48,45.7,21.3,31.4,,7.7,34.9,8.1,43.8,7.3,58.5,40.5,34.4,41.3,22.6,61.81716834,34.03408186,0.286669852,1.727982163,47.05491585,7.48049564
213,169.8,84,31,463.3,52513,13134,12.3,0,"(51046.4, 54545.6]",44.6,44.3,45.2,"Madison County, Virginia",2.58,52.2,19.5,31.6,,10.2,36.4,14.4,55.9,6.6,65.3,49.6,42.3,33.5,16.8,85.78382901,8.252833346,0,1.026850232,53.72776334,6.25698324
214,157.1,72,27,444.9,58268,8862,10.6,225.6826901,"(54545.6, 61494.5]",51.1,50.8,51.3,"Mathews County, Virginia",2.3,63.6,15.8,52.6,,14.2,33.3,16.2,51.1,3.3,80.6,57.4,49.9,33.6,10.6,86.32882883,10.25900901,0.484234234,0.416666667,60.61481871,1.906898486
215,213.7,216,109,445.1,38500,31081,21.1,289.5659728,"(37413.8, 40362.7]",47.2,45.2,49.3,"Mecklenburg County, Virginia",2.41,44.4,18.7,42.3,,3.4,32.5,9.8,47.6,6.9,61.7,42.9,34.8,41.1,20.2,60.57360165,35.09111076,0.440500713,1.673268896,43.75901298,4.664723032
216,206.9,100,43,525.6,48921,10606,14.4,94.28625306,"(48021.6, 51046.4]",52.7,51,53.7,"Middlesex County, Virginia",2.38,54.4,4.4,27.8,,2.7,32.5,15.3,47.5,6.3,77.6,50.6,39.9,39.2,12.3,79.43454325,19.2964449,0,0.279929085,53.80009212,2.71468144
217,153.3,309,120,396.2,43484,97653,24.8,256.00852,"(42724.4, 45201]",27.5,26.2,29.6,"Montgomery County, Virginia",2.48,39.1,2.7,11.3,72.3,13.7,21.8,23.2,55,5.6,82.4,70.1,58.2,19.9,8.7,86.72084754,4.348637358,6.119191019,0.910155805,43.44441603,3.135414054
218,194.3,120,44,526.7,48076,14785,13.4,0,"(48021.6, 51046.4]",48.4,45.7,49.4,"Nelson County, Virginia",2.33,50,12.9,48.5,29.8,8.9,33.6,14.4,54.4,5.7,69.1,49.5,40.9,36,15.2,83.89419841,13.44057074,0.249024095,1.346076188,44.34453384,5.74048913
219,201.4,94,39,454.3,72406,20392,6.2,0,"(61494.5, 125635]",43.1,41.9,44.5,"New Kent County, Virginia",2.61,60.6,13.9,41.3,36.8,8,33,16.7,62.8,6.1,83.8,69,59.5,21.7,8.7,81.64110429,12.25460123,0.77198364,0.552147239,63.5566516,2.628490965
220,227.1,103,48,527.2,36822,12155,21.5,0,"(34218.1, 37413.8]",48.3,45.2,50.5,"Northampton County, Virginia",2.26,46.4,17.8,39.8,35.9,6.4,34.2,14,48.1,9.5,56.8,36.9,29.8,41.3,20.6,61.59717663,36.44123441,0.796126067,0.500656599,41.0632622,6.455750321
221,190.5,107,49,450.4,51422,12232,14.3,0,"(51046.4, 54545.6]",55.1,54.8,55.7,"Northumberland County, Virginia",2.1,61,8.2,50.7,,0.7,31.1,16.1,47.2,8.7,76.1,47.6,39.7,43.4,13.5,70.46488947,28.6979844,0.056892068,0,54.34226241,7.278020378
222,201.5,106,44,508,37996,15673,24.3,0,"(37413.8, 40362.7]",41.5,41,43.9,"Nottoway County, Virginia",0.0254,42.7,26.7,40.2,,0,37.1,10.5,43.8,10.8,59.2,41.6,35.6,44.1,24.5,56.82006238,39.55827127,0.566482083,1.082044427,44.24762927,7.331771008
223,177.3,225,82,503.5,59282,35385,10.7,0,"(54545.6, 61494.5]",42.6,41,44,"Orange County, Virginia",2.66,54.7,10.7,47.3,37.5,4.5,34.7,15.2,53.8,7.9,69.9,51.4,45.9,33.9,15.7,82.58469187,12.74135738,0.994334605,1.008787143,56.73692428,2.100668394
224,199.2,137,65,430.1,44851,23726,16.9,0,"(42724.4, 45201]",44.1,43.5,44.9,"Page County, Virginia",2.52,53.1,14.8,41.3,,7.3,42.9,8.1,52.8,9.3,63.5,48.3,38.1,35.7,18.1,95.63393868,1.644088412,0.51587468,0.57039802,53.00896287,5.963302752
225,178.3,97,52,339.1,34885,18045,21.9,0,"(34218.1, 37413.8]",48,46.1,50,"Patrick County, Virginia",2.31,53.5,10.5,36.3,,6.9,36,8,45,8.3,57.4,39.5,32.2,43.9,22.3,92.20324135,6.395094174,0.076653526,0.251861586,51.42490372,2.944539737
226,176.8,346,156,399,44207,62194,14.6,0,"(42724.4, 45201]",546,44.2,46.7,"Pittsylvania County, Virginia",2.36,53.5,14.7,40.7,,6.3,35.3,9.4,53.9,7.7,66.2,,42.6,36.2,18.6,74.84473039,21.41765137,0.3423894,1.57658375,51.5913601,4.194566305
227,175.1,145,52,459.6,75539,28031,7.1,0,"(61494.5, 125635]",43.7,42.4,44.9,"Powhatan County, Virginia",2.63,57.5,26.2,46.2,,2.7,28.6,19.3,56.6,4.9,83.7,65.2,57.4,22.7,7.2,85.04271989,12.25936824,0.542418549,0.251710568,65.72456321,5.615292712
228,188.8,99,48,410.4,37543,22952,25.5,0,"(37413.8, 40362.7]",32.1,29,34.5,"Prince Edward County, Virginia",2.49,36.1,6.4,21.7,,4.3,34.6,12.4,44.4,7,69.6,,42.4,30.4,16,64.08218226,32.91199722,1.429067848,0.421336113,44.6214064,7.608005083
229,172.1,155,59,437,61792,37862,10.5,0,"(61494.5, 125635]",37.1,36,38.3,"Prince George County, Virginia",3.03,49.7,12.5,36.2,,5,33.4,14,47.4,10.6,80.5,62.4,44.9,25.2,9,59.75922953,32.070626,2.09470305,2.070626003,61.87173482,4.855936413
230,150.1,1142,407,373.7,91886,451721,7.2,19.92380252,"(61494.5, 125635]",34,33.3,34.7,"Prince William County, Virginia",3.17,55,13.1,33.9,,10,21.7,23.2,68.5,5.4,78,65.7,54.5,17.1,8.6,61.4488498,20.4657981,7.773897652,4.59188924,60.21316724,6.857756326
231,185.8,189,91,390.6,46186,34332,14.7,0,"(45201, 48021.6]",45.2,43.9,47.1,"Pulaski County, Virginia",2.3,53.5,9.9,34.6,,5.3,34.2,11.4,53.6,7.4,69.3,,47.1,35.5,16.7,92.09047729,5.832947173,0.133225209,0.327270621,50.35228128,6.174957118
232,149.6,44,17,401.1,62800,7378,9.3,0,"(61494.5, 125635]",49.1,48.9,49.2,"Rappahannock County, Virginia",2.26,63.9,13.1,47.2,,3.7,25.6,19.9,57,2.9,68.1,50.5,39.9,31.5,13.1,92.38325932,4.185170233,0.807428341,0.309514197,58.75343721,5.182481752
233,176.2,57,22,452.4,42204,8908,19.7,0,"(40362.7, 42724.4]",43.7,40.8,50.3,"Richmond County, Virginia",2.47,46.6,16.7,29,,1,40.2,8.8,41.2,8.7,70.6,53,43.7,35.6,17.9,66.49237958,28.82411837,2.180442763,0.645233063,50.22608696,8.755129959
234,155.9,493,204,400.5,61935,94409,8.2,21.18442098,"(61494.5, 125635]",43.5,42.3,45,"Roanoke County, Virginia",2.4,55.7,12,36.9,,12.5,26.4,22.7,59.2,5.1,79.6,,53.7,29.1,12.8,88.97717685,5.810985443,2.851558745,0.145247936,53.38800964,5.404491669
235,159.2,115,58,338,48497,22354,13,0,"(48021.6, 51046.4]",48.3,47.1,49.2,"Rockbridge County, Virginia",2.39,55,16,46.7,32.4,5,36.3,13.8,51.9,4.1,69.3,48.9,39.5,35,15.6,93.75334165,2.86936375,0.699518802,0.770807343,53.65382552,6.476146578
236,156.1,378,157,400.2,55798,78593,11.7,0,"(54545.6, 61494.5]",41.5,40.6,42.3,"Rockingham County, Virginia",2.57,57,13,42.3,,7.1,35.5,14.4,61.3,5.4,72.9,58.7,50.2,27.2,13,94.25467635,1.824259176,0.723789934,1.400012856,58.19746835,4.834403227
237,212,137,81,365.4,37378,27891,17.9,0,"(34218.1, 37413.8]",43.8,43,44.8,"Russell County, Virginia",2.51,54,12.6,39.5,45.6,2.4,36.7,8,43.7,8,56.7,,35.5,43.2,23.5,97.21720659,1.037351744,0.145158435,0.601876438,52.3494794,3.255738239
238,196.1,110,69,330.8,36290,22126,20.8,0,"(34218.1, 37413.8]",45.4,44.4,47,"Scott County, Virginia",2.34,57.6,4.1,38.3,,9.9,36.2,8.1,45.3,9.4,62.7,44.3,40.5,42.7,20.7,98.08152415,0.757642889,0.26583961,0.101905184,55.30440345,2.248441674
239,171.4,235,104,407.6,45430,43190,12,0,"(45201, 48021.6]",43.8,42.3,45.1,"Shenandoah County, Virginia",2.47,55.6,14.5,39.5,,5.7,39.5,12.2,57.9,6,68.9,,45.4,33.4,15.9,93.12798427,2.375713884,0.512592454,1.956745623,53.77866168,7.406593407
240,202.4,171,92,389.1,37831,31470,19.7,0,"(37413.8, 40362.7]",44.3,42.8,46.1,"Smyth County, Virginia",2.43,51.7,14.7,44.8,,4.6,38.8,9.2,50.8,6.4,59.2,44.2,39.8,41.4,24.3,96.08621668,2.136509737,0.343480179,0.012604777,49.67565455,6.188734455
241,181.8,97,43,405.7,46521,18109,15.3,0,"(45201, 48021.6]",45.4,45.7,45.2,"Southampton County, Virginia",2.53,48.3,21.2,27.9,,2.3,34.8,10.1,52.1,7.2,66.8,49.6,42,33.3,16.7,60.91797936,35.92069527,0.10320478,0.401955459,52.5142173,5.455508475
242,172.5,518,191,449.4,75714,130475,9.2,176.2789806,"(61494.5, 125635]",36.7,35.7,37.8,"Spotsylvania County, Virginia",2.97,56,11.8,40.1,37.3,10.8,31.7,17.9,63.3,6.2,78.3,62.8,53.8,21.9,9.4,74.25660383,15.97215152,2.534242821,3.81467762,61.33152745,6.051314143
243,175.6,460,160,450.5,92647,142003,5.9,0,"(61494.5, 125635]",34.7,33.5,35.9,"Stafford County, Virginia",3.08,57.4,11.1,36.1,,14.7,23.7,22.2,61.8,5.5,84.1,65.8,51.8,18.4,7,70.13161253,17.12931569,2.939954063,5.125232418,66.38405714,4.970818505
244,182.2,40,17,426.5,48707,6709,12.9,0,"(48021.6, 51046.4]",47.5,47.1,47.8,"Surry County, Virginia",2.56,53.2,25.8,44,,14,29.2,15.4,56.2,10.7,65.2,50.4,42.3,31.4,17.1,52.39630661,45.06815184,0.820753334,0.747471787,53.5982009,4.897660819
245,208.4,72,30,486.9,37748,11715,23.9,0,"(37413.8, 40362.7]",38.5,35.9,47.3,"Sussex County, Virginia",2.08,32,38.5,42.8,,0.3,40.3,5.5,25,6.9,66.2,,37.8,44.2,23.7,39.0340526,57.09710047,0.143290627,1.348617667,41.31470308,3.682946357
246,208.1,224,127,376.4,38292,42899,19.2,23.31056668,"(37413.8, 40362.7]",43.1,40.8,46.1,"Tazewell County, Virginia",2.38,53.9,14.6,41.1,40.7,3.7,35.8,8.5,46.2,8,59,43.4,38.9,41.7,23.6,94.73672213,2.924549806,0.394346934,0.091178482,52.52355316,6.033920417
247,202.5,178,84,428.2,60714,39083,11.3,0,"(54545.6, 61494.5]",40.4,39,41.5,"Warren County, Virginia",2.62,51.2,7.9,38.7,45,8.5,36.6,13.9,60.8,7.2,75.2,59.9,53.3,25.6,11.7,90.77466802,4.007172371,1.042072711,0.522335698,52.57588415,5.544668588
248,176.7,312,136,420.8,43353,54591,14.5,36.63607554,"(42724.4, 45201]",44.7,43.2,46.1,"Washington County, Virginia",2.35,53.9,11.1,34.4,,8.8,32.9,14.4,53.6,6.9,67.4,49.3,41.5,37.7,17.7,96.45720338,1.490166,0.555159882,0.500374368,52.00899749,5.091597145
249,179.9,121,49,450.9,48232,17629,15,0,"(48021.6, 51046.4]",46.6,45.2,48.6,"Westmoreland County, Virginia",2.51,47.6,6.2,39.8,,4.7,36.3,11.5,51,9.7,64.7,45.8,38.6,38,16.8,67.81340776,28.22236145,0.575269123,1.509369482,47.27822581,3.666942377
250,223.4,176,106,367.3,38528,39718,21.9,0,"(37413.8, 40362.7]",39.8,37.8,41.5,"Wise County, Virginia",2.46,47.5,12.2,35.6,46.3,5.9,32.4,9,41.3,11,59.7,43.7,40,42.3,22.9,92.66962744,5.418208734,0.47125586,0.180113496,49.41654648,3.651138835
251,175.9,171,71,433.5,41132,29119,15.6,137.3673546,"(40362.7, 42724.4]",43.6,42,45.5,"Wythe County, Virginia",2.44,53.7,8.5,42.7,,4,36.4,9.8,52.9,9.6,63.9,50.1,44,35.3,18.4,94.99486125,3.600548133,0.702295307,0.260363138,52.06945966,2.933713923
252,152.3,272,103,389.3,81169,67837,5.5,0,"(61494.5, 125635]",39.5,37.4,40.8,"York County, Virginia",2.73,61.5,9.3,36.4,42.6,11.7,19.6,22.8,57.8,5.8,87.2,,43.4,20.9,6.2,77.04863775,13.50965083,5.253418784,0.559642551,64.84977289,4.925163106
253,135.4,405,165,317.6,86419,153511,9.6,58.62772049,"(61494.5, 125635]",36,35.9,36.2,"Alexandria city, Virginia",2.21,44.1,14.4,23.7,,23.9,12.1,29.8,74.2,4.5,76.4,,57.3,17.6,8.6,64.09469913,21.37494558,6.586746141,3.159762917,36.21615156,6.214827502
254,226.6,64,58,265.7,34099,17141,21.8,408.3775742,"[22640, 34218.1]",41.8,39.7,43.7,"Bristol city, Virginia",2.22,46.2,10.4,41.8,,3.6,32.8,16.1,51.3,10.7,57.3,42.5,36.3,42,24.4,89.91097923,5.683633874,0.930152933,1.289659895,40.54159109,3.86837478
255,240.8,46,19,578.2,38331,6618,17.2,0,"(37413.8, 40362.7]",33.8,33.6,34.3,"Buena Vista city, Virginia",2.26,48.1,0.5,46.3,,11.4,40.5,11,51.8,7.3,59.9,45.6,38.3,34.7,21.2,90.2790279,1.050105011,7.095709571,0,45.92619657,11.88769415
256,178.2,250,60,718.9,45890,46597,25.9,364.8303539,"(45201, 48021.6]",29.8,29.3,30.3,"Charlottesville city, Virginia",0.0239,30.1,4.9,22.2,,18,22.2,23.3,60.6,4.3,76.1,67.1,52.9,20.3,11.9,70.72797445,19.23742348,6.663117736,0.310531452,30.49233889,2.753790712
257,182.2,995,378,458.3,66625,235429,9.8,46.72321592,"(61494.5, 125635]",36.5,35,38.2,"Chesapeake city, Virginia",2.75,52.5,12.2,36.1,,9.7,26.5,18.8,58.6,7.5,77.9,61.8,47.6,24.9,12.4,62.28203694,29.74054753,3.279690895,1.329135607,54.73147035,5.746827092
258,159.3,117,43,493.6,52355,17820,11.5,0,"(51046.4, 54545.6]",40,37.7,43.5,"Colonial Heights city, Virginia",2.44,47.4,14.1,44.2,27.1,14.6,35.2,13.7,54.9,8.3,74.6,53.4,43,32.2,12.5,79.65743648,13.05737939,3.499857265,1.741364545,42.69631298,3.664122137
259,207.4,320,130,539,33646,42082,23.6,356.4469369,"[22640, 34218.1]",41.8,38.3,44.5,"Danville city, Virginia",2.2,38.7,13.7,32.7,47.5,6.1,28.1,11.3,48.9,12.7,57.2,,34.1,46.1,25.5,46.20023557,48.65959953,1.220259128,1.703180212,33.34770192,3.236583838
260,137.6,55,16,447.7,125635,13892,3.2,0,"(61494.5, 125635]",37.7,37.1,38.6,"Falls Church city, Virginia",2.57,55.3,4.1,17.5,,37.5,7.5,34.4,72,4.2,92.3,78.2,70.7,13.5,2.7,77.63751127,2.126540427,11.42921551,3.554253081,53.27138986,3.066180935
261,221.7,51,25,468,38583,8490,22.5,0,"(37413.8, 40362.7]",38,35.2,40.3,"Franklin city, Virginia",2.41,34.9,31.3,22.8,,0.6,24.9,16.1,51.8,13.7,59.4,41.9,37.1,40.5,22.3,38.85538607,58.60234126,0.591226203,0.744945016,30.84274544,4.927099045
262,180.3,120,39,566.3,51195,28118,16.8,1280.318657,"(51046.4, 54545.6]",29.4,29.5,29.3,"Fredericksburg city, Virginia",2.46,33.7,2.6,24.6,,12.3,26.9,21.2,60.4,8.9,71.3,57.9,49.1,24.4,13.6,65.63971528,23.29987224,2.47490418,3.668552656,34.21626984,4.269052202
263,190.3,709,270,491.9,47615,136454,15.2,168.5549709,"(45201, 48021.6]",35.4,33.3,38,"Hampton city, Virginia",2.51,41,8.8,28.3,,7.6,27.3,14.9,55.2,9.8,69.5,51.7,39.1,31.6,16.4,42.82139757,50.08352726,2.309583385,1.149685223,39.69588213,4.72938218
264,150.5,190,51,591.1,38541,52538,28.3,57.10152651,"(37413.8, 40362.7]",23.5,24.5,22.8,"Harrisonburg city, Virginia",2.69,28.7,2.9,15.7,,6.8,26.5,20.6,54.6,6.5,72.8,63.8,54.9,18.2,10.4,84.75714175,7.122285358,4.10212501,1.181209621,34.66999817,2.564793362
265,244.9,139,65,547.6,40122,22378,19.5,0,"(37413.8, 40362.7]",36.9,34.9,38.1,"Hopewell city, Virginia",2.53,35.3,31.5,36.5,26.8,5.2,38.3,8.1,52.4,12.8,62,45.6,39.9,38.8,21.9,52.70434041,38.08519233,1.463261367,4.241662552,30.50769584,5.969289827
266,194.5,391,165,495,40065,79812,25,388.41277,"(37413.8, 40362.7]",28.7,27,30.4,"Lynchburg city, Virginia",2.37,35.6,5.4,21.9,,10.7,25.1,19.9,53.1,8,69.1,54.9,45.1,30.4,16.3,65.07075411,28.4436654,2.844238594,0.7497633,37.78393158,5.96087761
267,155.2,108,41,364.1,72510,41764,9.8,0,"(61494.5, 125635]",33.3,32.2,34.1,"Manassas city, Virginia",3.27,53.3,21.6,25.2,,8,26,17.6,69.8,7.5,69.1,58.4,51.6,19.3,10.8,71.43312962,14.25766389,5.242618364,4.440026508,56.91305397,6.93416809
268,191.9,773,321,457.2,48440,182385,16.7,159.0043041,"(48021.6, 51046.4]",32.8,31.2,34.4,"Newport News city, Virginia",2.5,41.1,9.4,31.3,,8.8,28.2,15,57.9,9.1,68.8,53.8,40.3,29.7,16.5,50.35489155,40.38594111,3.061939191,1.579501773,38.42890855,5.236698785
269,193.6,985,393,480.5,42567,246393,23.4,523.5538347,"(40362.7, 42724.4]",30,28.4,32.4,"Norfolk city, Virginia",2.53,34.1,6.9,33.5,,5.6,26.9,15.6,50.8,10.9,63,49.7,35,30.4,18.7,47.828496,42.14591855,3.392109252,2.179652233,34.30754208,6.373340936
270,197.3,22,9,461,31620,3939,21.6,3046.458492,"[22640, 34218.1]",39.3,44.3,37,"Norton city, Virginia",2.21,43.1,25.3,20.3,,15.2,19.4,14.3,55.1,11.1,59.8,45.3,37.7,42.5,24.2,87.52183679,3.419016721,5.814824058,1.472423259,32.64161526,3.938223938
271,224.4,249,88,651.3,32749,32477,25.8,0,"[22640, 34218.1]",39.5,37.3,41.1,"Petersburg city, Virginia",2.44,29.5,14.3,43.7,,12,34,9.2,49.3,13,53.1,,32.3,43.3,26.3,18.14898982,77.07250257,1.319926532,1.273231018,27.0092947,4.372408594
272,159.2,67,24,441.3,84213,12059,5.9,0,"(61494.5, 125635]",43.8,42.8,45.2,"Poquoson city, Virginia",2.59,60.3,15.3,30.6,,11.1,27,22.4,60.7,4.5,87.7,69,55.8,21.8,6.5,94.28666059,0.985344042,1.846485054,0.389169496,62.60232658,4.361370717
273,218.1,489,229,473.2,43045,96201,18.3,187.1082421,"(42724.4, 45201]",34.9,32.9,36.7,"Portsmouth city, Virginia",2.54,37.8,12.1,39.2,,5.8,28.9,13.3,,11.6,62.4,47.8,37.7,35.8,22,41.22536017,52.63431633,1.097415093,1.274249753,35.93873276,5.954956101
274,193.1,51,21,463.1,34267,17403,32.4,0,"(34218.1, 37413.8]",22.3,22.4,22.3,"Radford city, Virginia",2.57,25.3,1.7,17.7,,7.2,22.6,20.7,44.8,8.8,76.1,65.1,52.5,22.8,13.2,85.29635927,9.186844111,1.93468957,0.732836958,31.13018076,1.039129729
275,200.2,948,406,475.4,42074,220289,25,122.5662652,"(40362.7, 42724.4]",32.9,32.2,33.7,"Richmond city, Virginia",2.33,26.2,10.7,22.1,,13,23,21.9,58.8,10,59.3,,39,33,20.6,44.02741713,48.62002012,2.214424404,1.136921889,23.88562781,4.888983425
276,201.2,576,235,512.4,40735,99897,20.4,430.4433567,"(40362.7, 42724.4]",38,36,40.1,"Roanoke city, Virginia",2.29,38.7,14.2,41.1,,6.4,30.4,14.8,58.5,8.3,59.2,46.6,40.7,36.4,22,64.15390536,27.76494895,2.455031599,1.50097229,33.55903312,6.673085779
277,186.6,162,63,511.5,54195,25432,10.2,432.5259516,"(51046.4, 54545.6]",40.5,40.1,40.9,"Salem city, Virginia",2.29,47.3,7,23.8,60.9,8.4,29.8,17.1,59.7,4.8,75.1,59.3,53.7,27.2,13.3,88.11047089,7.792569044,2.074309557,0.596065965,46.2518666,4.609250399
278,176.1,181,64,537.9,42552,24416,16.5,0,"(40362.7, 42724.4]",42.3,41.4,42.9,"Staunton city, Virginia",2.21,43.6,6.9,34.2,,11.1,30.9,18.8,56,5.6,68.4,49.3,41.5,35.1,16.1,82.77600959,12.21014343,1.08295788,0.632414335,40.5218061,3.909798832
